lambda,accuracy,deviance
4.5399929762484854e-5,0.584,98.83027022894599
1.2340980408667956e-4,0.6,86.081121222014
3.3546262790251185e-4,0.586,77.4156424429783
9.118819655545162e-4,0.584,70.00983315074964
0.0024787521766663585,0.603,61.17440682892483
0.006737946999085467,0.598,51.941767767450735
0.01831563888873418,0.601,43.813298543431415
0.049787068367863944,0.617,37.90690488749127
0.1353352832366127,0.593,34.537706878689654
0.36787944117144233,0.628,28.753909580479
1,0.6295,26.51906612337915
2.718281828459045,0.6545,25.495300651207895
7.38905609893065,0.6225,26.343825651910553
20.085536923187668,0.584,27.053161773882252
54.598150033144236,0.555,27.524797934231856
148.4131591025766,0.554,27.666592514669127
403.4287934927351,0.533,27.998160434204774
1096.6331584284585,0.5575,27.8324238852084
2980.9579870417283,0.5435,28.04360781434344
8103.083927575384,0.532,27.963130201951437
22026.465794806718,0.543,27.959528206155056
